chartPosition	songName 	artistName	chartYear
64	Rumour Has It	Adele	2012
65	Let's Go	Calvin Harris featuring Ne-Yo	2012
66	Good Girl	Carrie Underwood	2012
67	Pontoon	Little Big Town	2012
68	Ho Hey	The Lumineers	2012
69	Paradise	Coldplay	2012
70	Blown Away	Carrie Underwood	2012
71	Rolling in the Deep	Adele	2012
72	Climax	Usher	2012
73	Work Hard, Play Hard	Wiz Khalifa	2012
74	Let Me Love You (Until You Learn to Love Yourself)	Ne-Yo	2012
75	Pound the Alarm	Nicki Minaj	2012
76	Come Over	Kenny Chesney	2012
77	Heart Attack	Trey Songz	2012
78	Drank in My Cup	Kirko Bangz	2012
79	Birthday Cake	Rihanna featuring Chris Brown	2012
80	So Good	B.o.B	2012
81	50 Ways to Say Goodbye	Train	2012
82	Red Solo Cup	Toby Keith	2012
83	Love You like a Love Song	Selena Gomez & the Scene	2012
84	Turn Up the Music	Chris Brown	2012
85	Die Young	Kesha	2012
86	5 O'Clock	T-Pain featuring Wiz Khalifa and Lily Allen	2012
87	A Thousand Years	Christina Perri	2012
88	Take a Little Ride	Jason Aldean	2012
89	You da One	Rihanna	2012
90	We Run the Night	Havana Brown featuring Pitbull	2012
91	It's Time	Imagine Dragons	2012
92	Cashin' Out	Cash Out	2012
93	I Don't Want This Night to End	Luke Bryan	2012
94	Diamonds	Rihanna	2012
95	Hard to Love	Lee Brice	2012
96	Somethin' 'Bout a Truck	Kip Moore	2012
97	Adorn	Miguel	2012
98	Fly Over States	Jason Aldean	2012
99	Even If It Breaks Your Heart	Eli Young Band	2012
100	Burn It Down	Linkin Park	2012
1	Thrift Shop	Macklemore & Ryan Lewis featuring Wanz	2013
2	Blurred Lines	Robin Thicke featuring T.I. and Pharrell Williams	2013
3	Radioactive	Imagine Dragons	2013
4	Harlem Shake	Baauer	2013
5	Can't Hold Us	Macklemore & Ryan Lewis featuring Ray Dalton	2013
6	Mirrors	Justin Timberlake	2013
7	Just Give Me a Reason	Pink featuring Nate Ruess	2013
8	When I Was Your Man	Bruno Mars	2013
9	Cruise	Florida Georgia Line featuring Nelly	2013
10	Roar	Katy Perry	2013
11	Locked Out of Heaven	Bruno Mars	2013
12	Ho Hey	The Lumineers	2013
13	Stay	Rihanna featuring Mikky Ekko	2013
14	Get Lucky	Daft Punk featuring Pharrell Williams	2013
15	Royals	Lorde	2013
16	I Knew You Were Trouble	Taylor Swift	2013
17	We Can't Stop	Miley Cyrus	2013
18	Wrecking Ball	Miley Cyrus	2013
19	Wake Me Up	Avicii	2013
20	Suit & Tie	Justin Timberlake featuring Jay-Z	2013
21	Cups (Pitch Perfect's When I'm Gone)	Anna Kendrick	2013
22	Holy Grail	Jay-Z featuring Justin Timberlake	2013
23	Scream & Shout	will.i.am featuring Britney Spears	2013
24	Clarity	Zedd featuring Foxes	2013
25	Sail	Awolnation	2013
26	Don't You Worry Child	Swedish House Mafia featuring John Martin	2013
27	Diamonds	Rihanna	2013
28	I Love It	Icona Pop featuring Charli XCX	2013
29	Safe and Sound	Capital Cities	2013
30	Treasure	Bruno Mars	2013
31	The Way	Ariana Grande featuring Mac Miller	2013
32	Started from the Bottom	Drake	2013
33	Come & Get It	Selena Gomez	2013
34	Hold On, We're Going Home	Drake featuring Majid Jordan	2013
35	Daylight	Maroon 5	2013
36	Feel This Moment	Pitbull featuring Christina Aguilera	2013
37	Applause	Lady Gaga	2013
38	One More Night	Maroon 5	2013
39	Love Me	Lil Wayne featuring Drake and Future	2013
40	My Songs Know What You Did in the Dark (Light Em Up)	Fall Out Boy	2013
41	Fuckin' Problems	ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar	2013
42	Beauty and a Beat	Justin Bieber featuring Nicki Minaj	2013
43	Same Love	Macklemore & Ryan Lewis featuring Mary Lambert	2013
44	Sweet Nothing	Calvin Harris featuring Florence Welch	2013
45	Summertime Sadness	Lana Del Rey and Cédric Gervais	2013
46	Home	Phillip Phillips	2013
47	It's Time	Imagine Dragons	2013
48	Power Trip	J. Cole featuring Miguel	2013
49	Girl on Fire	Alicia Keys featuring Nicki Minaj	2013
50	Heart Attack	Demi Lovato	2013
51	Love Somebody	Maroon 5	2013
52	I Will Wait	Mumford & Sons	2013
53	Try	Pink	2013
54	Wagon Wheel	Darius Rucker	2013
55	Gangnam Style	Psy	2013
56	I Need Your Love	Calvin Harris featuring Ellie Goulding	2013
57	Die Young	Kesha	2013
58	Some Nights	Fun	2013
59	Bad	Wale featuring Tiara Thomas or Rihanna	2013
60	Boys 'Round Here	Blake Shelton featuring Pistol Annies and Friends	2013
61	Gone, Gone, Gone	Phillip Phillips	2013
62	Demons	Imagine Dragons	2013
63	Counting Stars	OneRepublic	2013
64	I Cry	Flo Rida	2013
65	Little Talks	Of Monsters and Men	2013
66	The Other Side	Jason Derulo	2013
67	Berzerk	Eminem	2013
68	Catch My Breath	Kelly Clarkson	2013
69	Crash My Party	Luke Bryan	2013
70	Pour It Up	Rihanna	2013
71	22	Taylor Swift	2013
72	I Want Crazy	Hunter Hayes	2013
73	The Fox (What Does the Fox Say?)	Ylvis	2013
74	Best Song Ever	One Direction	2013
75	The A Team	Ed Sheeran	2013
76	Carry On	Fun	2013
77	Highway Don't Care	Tim McGraw featuring Taylor Swift and Keith Urban	2013
78	That's My Kind of Night	Luke Bryan	2013
79	Swimming Pools (Drank)	Kendrick Lamar	2013
80	Sure Be Cool If You Did	Blake Shelton	2013
81	#Beautiful	Mariah Carey featuring Miguel	2013
82	Troublemaker	Olly Murs featuring Flo Rida	2013
83	Body Party	Ciara	2013
84	Adorn	Miguel	2013
85	Hall of Fame	The Script featuring will.i.am	2013
86	Let Me Love You (Until You Learn to Love Yourself)	Ne-Yo	2013
87	U.O.E.N.O.	Rocko featuring Future and Rick Ross	2013
88	Next to Me	Emeli Sandé	2013
89	Mama's Broken Heart	Miranda Lambert	2013
90	It Goes Like This	Thomas Rhett	2013
91	Bugatti	Ace Hood featuring Future and Rick Ross	2013
92	Wanted	Hunter Hayes	2013
93	Downtown	Lady Antebellum	2013
94	Get Your Shine On	Florida Georgia Line	2013
95	#thatPower	will.i.am featuring Justin Bieber	2013
96	Brave	Sara Bareilles	2013
97	Let Her Go	Passenger	2013
98	Runnin' Outta Moonlight	Randy Houser	2013
99	I'm Different	2 Chainz	2013
100	Still Into You	Paramore	2013
